TYPE,BOLT DIA (IN),BOLT LENGTH (MM),BOLT DESCRIPTION,BOLT MATERIAL,IDENT CODE,QUANTITY,CC,IC,SAP ID,DESCRIPTION
STBT,"1""",160,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,NA,17,LXAAONABAAAAAZ,I47587837,,"1"" x 160mm, Stud Bolt & 2 Nuts, ASME B18.2.1 / ASME B18.2.2, ASTM A193 Grade B7 Stud Bolt / ASTM A194 Grade 2H Nuts, Hot Dip Galvanised"
STBT,"1-1/4""",225,STUD BOLT WITH 2 HEAVY HEX NUTS,B8M/8M,NA,26,LXAAONAB11ZZZZ,I47998984,,"1-1/4"" x 225mm, Stud Bolt & 2 Nuts, ASME B18.2.1 / ASME B18.2.2, ASTM A193 Grade B8M Stud Bolt / ASTM A194 Grade 8M Nuts"
STBT,"1-1/8""",135,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7M/2HM,NA,26,LXAAONABABAAAZ,I47589486,,"1-1/8"" x 135mm, Stud Bolt & 2 Nuts, ASME B18.2.1 / ASME B18.2.2, ASTM A193 Grade B7M Stud Bolt / ASTM A194 Grade 2HM Nuts, Hot Dip Galvanised"
STBT,"1-1/8""",135,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,L7M/7M,NA,9,LXAAONABADAAAZ,I47590510,,"1-1/8"" x 135mm, Stud Bolt & 2 Nuts, ASME B18.2.1 / ASME B18.2.2, ASTM A320 Grade L7M Stud Bolt / ASTM A194 Grade 7M Nuts, Hot Dip Galvanised"
STBT,"1-1/8""",200,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7M/2HM,NA,0,LXAAONABABAAAZ,I47589494,,"1-1/8"" x 200mm, Stud Bolt & 2 Nuts, ASME B18.2.1 / ASME B18.2.2, ASTM A193 Grade B7M Stud Bolt / ASTM A194 Grade 2HM Nuts, Hot Dip Galvanised"
STBT,"1-7/8""",405,STUD BOLT WITH 3 HEAVY HEX NUTS HDG,B7M/2HM,NA,42,LXCADAABABAAAZ,I47910022,,"1-7/8"" x 405mm, Stud Bolt & 3 Nuts, ASME B1.1 / ASME B18.2.2, ASTM A193 Grade B7M Stud Bolt / ASTM A194 Grade 2HM Nuts, Hot Dip Galvanised"
STBT,"1-7/8""",425,STUD BOLT WITH 3 HEAVY HEX NUTS HDG,B7M/2HM,NA,21,LXCADAABABAAAZ,I47998978,,"1-7/8"" x 425mm, Stud Bolt & 3 Nuts, ASME B1.1 / ASME B18.2.2, ASTM A193 Grade B7M Stud Bolt / ASTM A194 Grade 2HM Nuts, Hot Dip Galvanised"
STBT,"1/2""",75,STUD BOLT WITH 2 HEAVY HEX NUTS,B8M/8M,NA,9,LXAAONAB11ZZZZ,I47998985,,"1/2"" x 75mm, Stud Bolt & 2 Nuts, ASME B18.2.1 / ASME B18.2.2, ASTM A193 Grade B8M Stud Bolt / ASTM A194 Grade 8M Nuts"
STBT,"1/2""",75,STUD BOLT WITH 2 HEAVY HEX NUTS GALV,L7M/7M,NA,21,LXAAONABADAAAZ,I47589092,,"1/2"" x 75mm, Stud Bolt & 2 Nuts, ASME B18.2.1 / ASME B18.2.2, ASTM A320 Grade L7M Stud Bolt / ASTM A194 Grade 7M Nuts, Hot Dip Galvanised"
STBT,"1/4""",50,COUNTER SUNK BOLT WITH NUTS EGALV AND WASHERS,B7/2H/SS316,NA,7605,LY7AABABHOAATZ,I47999080,,"1/4"" x 50mm, Countersunk Bolt & 2Nuts, DIN 7991, ASTM A193 Grade B7 Bolt / ASTM A194 Grade 2H Nuts / AISI 316 Washer, Electrogalvanized, 2 Flat Washers"
