TYPE,BOLT DIA (IN),BOLT LENGTH (MM),BOLT DESCRIPTION,BOLT MATERIAL,MSR,MTO,MSR - MTO,IN
STBT,"1""",90,MACHINE BOLT WITH 1 HEAVY HEX NUT AND WASHERS,B8M/8M/SS316,20,0,20,1
STBT,"1""",100,MACHINE BOLT WITH 1 HEAVY HEX NUT AND WASHERS,B8M/8M/SS316,60,0,60,2
STBT,"1""",105,MACHINE BOLT WITH 1 HEAVY HEX NUT AND WASHERS,A325,65,0,65,3
STBT,"1""",135,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,12,0,12,4
STBT,"1""",145,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,96,60,36,5
STBT,"1""",150,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,48,0,48,6
STBT,"1""",150,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7M/2HM,12,0,12,7
STBT,"1""",155,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,8,8,0,8
STBT,"1""",155,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7M/2HM,244,300,-56,9
STBT,"1""",160,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,0,16,-16,10
STBT,"1""",160,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7M/2HM,56,56,0,11
STBT,"1""",165,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,20,12,8,12
STBT,"1""",170,STUD BOLT WITH 2 HEAVY HEX NUTS AND WASHERS HDG,B7/2H/A307,22,0,22,13
STBT,"1""",170,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,12,0,12,14
STBT,"1""",170,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7M/2HM,24,0,24,15
STBT,"1""",185,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,652,676,-24,16
STBT,"1""",185,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7M/2HM,104,104,0,17
STBT,"1""",200,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7M/2HM,24,0,24,18
STBT,"1""",205,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,24,24,0,19
STBT,"1""",210,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,72,12,60,20
STBT,"1""",215,STUD BOLT WITH 2 HEAVY HEX NUTS AND WASHERS HDG,B7/2H/A307,170,136,34,21
STBT,"1""",215,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,132,60,72,22
STBT,"1""",230,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,32,32,0,23
STBT,"1""",245,STUD BOLT WITH 2 HEAVY HEX NUTS AND WASHERS HDG,B7/2H/A307,29,0,29,24
STBT,"1""",265,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,36,36,0,25
STBT,"1""",270,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,20,0,20,26
STBT,"1""",335,STUD BOLT WITH 2 HEAVY HEX NUTS AND WASHERS HDG,B7/2H/A307,64,144,-80,27
STBT,"1""",365,STUD BOLT WITH 2 HEAVY HEX NUTS AND WASHERS HDG,B7/2H/A307,21,36,-15,28
STBT,"1""",365,STUD BOLT WITH 2 HEAVY HEX NUTS HDG,B7/2H,16,0,16,29
STBT,"1""",375,STUD BOLT WITH 2 HEAVY HEX NUTS AND WASHERS HDG,B7/2H/A307,45,0,45,30
